ebsd_id,mesh_id,confidence
3,1,100.0
4,2,77.55
5,3,97.47
6,4,100.0
7,5,100.0
8,6,100.0
9,7,98.67
10,8,88.31
11,9,100.0
12,10,96.67
13,11,100.0
15,12,95.24
16,13,87.01
17,14,92.68
18,15,85.0
19,16,96.0
20,17,91.46
21,18,98.86
22,19,85.92
23,20,98.08
24,21,97.67
25,22,93.12
26,23,93.33
27,24,94.38
28,25,97.92
29,26,92.68
30,27,95.45
31,28,87.39
33,29,85.15
34,30,100.0
35,31,96.09
36,32,89.47
37,33,91.93
38,34,96.08
39,35,94.59
40,36,95.79
41,37,84.75
42,38,86.27
43,39,94.23
44,40,94.81
45,41,100.0
46,42,94.29
47,43,90.85
48,44,98.04
49,45,100.0
50,46,100.0
51,47,98.97
52,48,89.74
53,49,97.87
54,50,92.86
55,51,92.63
56,52,100.0
57,53,91.11
58,54,90.91
59,55,92.56
60,56,91.49
61,57,75.0
62,58,92.31
63,59,90.91
64,60,94.52
65,61,90.5
66,62,91.07
67,63,97.37
68,64,96.3
69,65,85.45
70,66,100.0
71,67,94.94
72,68,100.0
73,69,96.08
74,70,89.66
75,71,93.75
76,72,94.64
77,73,92.86
78,74,98.21
79,75,92.31
80,76,97.92
81,77,95.45
82,78,94.2
83,79,100.0
84,80,93.22
85,81,96.55
86,82,97.3
87,83,89.47
88,84,88.37
89,85,92.31
90,86,100.0
91,87,70.0
92,88,95.92
93,89,100.0
95,90,85.71
96,91,87.5
97,92,100.0
98,93,92.47
99,94,97.44
100,95,87.23
101,96,89.47
102,97,95.99
103,98,96.77
104,99,97.06
105,100,77.08
106,101,100.0
107,102,100.0
108,103,93.75
109,104,98.41
110,105,100.0
111,106,95.45
112,107,88.89
113,108,95.77
114,109,93.61
115,110,86.49
116,111,100.0
118,112,100.0
119,113,88.39
120,114,88.89
121,115,85.0
122,116,97.18
123,117,91.3
124,118,93.48
125,119,98.9
126,120,92.31
127,121,95.55
128,122,96.97
129,123,83.33
130,124,98.15
131,125,86.96
132,126,90.91
133,127,77.5
134,128,77.39
135,129,88.52
136,130,90.32
137,131,96.63
138,132,94.01
139,133,97.44
140,134,90.0
141,135,97.22
142,136,87.93
143,137,100.0
144,138,92.5
145,139,96.49
146,140,80.3
147,141,97.22
148,142,100.0
149,143,92.0
150,144,88.24
151,145,93.68
153,146,94.74
154,147,94.74
155,148,100.0
156,149,91.67
157,150,93.33
158,151,100.0
160,152,92.86
161,153,88.37
162,154,96.77
163,155,93.33
164,156,100.0
165,157,85.53
166,158,88.32
167,159,89.81
168,160,97.56
169,161,83.89
170,162,90.91
171,163,97.96
172,164,91.14
173,165,100.0
174,166,94.17
175,167,93.58
176,168,89.01
177,169,97.3
178,170,89.51
179,171,77.78
180,172,100.0
181,173,95.65
182,174,100.0
183,175,98.7
184,176,96.43
185,177,88.46
186,178,94.44
187,179,88.52
188,180,96.88
189,181,89.07
190,182,92.0
191,183,91.61
192,184,93.9
193,185,92.86
194,186,96.36
195,187,94.0
196,188,98.39
197,189,92.11
198,190,100.0
199,191,94.0
200,192,100.0
201,193,88.75
202,194,90.34
203,195,99.01
204,196,95.39
205,197,94.74
206,198,97.5
207,199,92.73
208,200,93.02
209,201,94.0
210,202,90.05
211,203,100.0
212,204,92.67
213,205,97.44
214,206,100.0
215,207,100.0
216,208,97.37
217,209,98.11
218,210,97.67
219,211,94.29
220,212,95.87
221,213,100.0
222,214,98.75
223,215,90.91
224,216,86.96
225,217,95.59
226,218,100.0
227,219,90.0
228,220,100.0
229,221,100.0
230,222,100.0
231,223,95.16
232,224,100.0
233,225,89.69
234,226,84.34
235,227,95.21
236,228,98.11
237,229,97.06
238,230,100.0
239,231,89.48
240,232,89.71
241,233,85.88
242,234,89.47
243,235,94.07
244,236,97.65
245,237,96.88
246,238,97.44
247,239,100.0
248,240,96.72
249,241,92.31
250,242,92.0
251,243,88.57
252,244,100.0
253,245,92.86
254,246,92.39
255,247,84.21
256,248,97.96
257,249,98.6
258,250,92.11
259,251,94.48
260,252,96.55
261,253,91.94
262,254,100.0
264,255,93.29
265,256,97.56
266,257,90.76
267,258,95.12
268,259,91.32
269,260,100.0
270,261,94.38
271,262,96.49
272,263,98.51
273,264,100.0
274,265,97.18
275,266,91.3
276,267,91.82
277,268,94.74
278,269,95.18
279,270,100.0
280,271,92.31
281,272,95.0
282,273,96.47
283,274,92.31
284,275,91.26
285,276,95.95
286,277,88.14
287,278,98.15
288,279,100.0
289,280,100.0
291,281,95.35
292,282,100.0
294,283,99.03
295,284,92.96
296,285,95.83
297,286,90.91
299,287,93.18
300,288,100.0
303,289,88.89
304,290,100.0
100001,291,100.0
100002,292,100.0
