ebsd_id,mesh_id,confidence
7,1,50.0
10,2,100.0
11,3,81.25
14,4,90.0
16,5,83.33
19,6,78.95
21,7,83.33
27,8,89.13
29,9,74.29
31,10,84.0
35,11,80.77
37,12,92.31
38,13,79.49
41,14,70.37
47,15,84.21
49,16,85.0
56,17,86.36
58,18,69.39
61,19,71.43
63,20,53.85
64,21,91.11
66,22,82.22
70,23,81.25
73,24,70.0
74,25,79.17
78,26,100.0
81,27,65.38
82,28,94.64
83,29,81.25
88,30,41.67
89,31,81.82
92,32,52.0
99,33,64.0
101,34,76.67
103,35,72.97
104,36,85.0
108,37,100.0
109,38,100.0
110,39,77.78
112,40,84.48
114,41,82.86
119,42,70.59
120,43,80.0
123,44,68.42
125,45,61.11
126,46,50.0
128,47,66.67
129,48,68.0
130,49,84.21
133,50,81.25
138,51,58.54
139,52,60.0
141,53,100.0
146,54,67.86
152,55,87.1
154,56,100.0
156,57,100.0
158,58,100.0
164,59,58.97
166,60,82.05
167,61,70.27
169,62,89.29
173,63,67.16
176,64,65.0
178,65,96.0
180,66,89.29
183,67,56.67
185,68,100.0
186,69,76.47
187,70,65.22
188,71,73.33
190,72,76.92
192,73,87.5
198,74,80.65
202,75,70.97
203,76,71.43
207,77,81.48
208,78,100.0
211,79,75.47
212,80,100.0
213,81,95.0
216,82,82.81
217,83,69.7
219,84,67.35
223,85,80.77
226,86,90.0
230,87,67.44
233,88,93.75
234,89,83.33
239,90,76.47
242,91,89.66
245,92,85.0
246,93,77.42
247,94,73.33
248,95,100.0
249,96,70.97
250,97,100.0
251,98,61.9
253,99,100.0
259,100,62.22
262,101,100.0
264,102,100.0
265,103,59.46
269,104,81.58
270,105,100.0
271,106,81.25
274,107,57.69
278,108,70.59
280,109,90.0
281,110,75.0
285,111,84.0
286,112,87.1
289,113,96.0
293,114,69.01
294,115,86.05
295,116,85.0
303,117,56.25
100001,118,94.12
100002,119,87.04
