ebsd_id,mesh_id,confidence
10,1,100.0
14,2,99.78
16,3,95.62
18,4,96.09
21,5,99.73
22,6,98.08
24,7,97.96
25,8,98.22
26,9,98.08
28,10,94.55
29,11,96.81
30,12,97.38
31,13,100.0
32,14,95.36
33,15,100.0
34,16,100.0
35,17,96.82
36,18,99.83
38,19,98.33
40,20,96.08
42,21,96.62
43,22,100.0
44,23,96.35
47,24,96.43
48,25,93.1
49,26,93.27
50,27,97.22
51,28,94.95
53,29,97.9
54,30,95.92
56,31,98.08
57,32,100.0
58,33,98.28
60,34,100.0
61,35,98.24
62,36,100.0
63,37,93.93
65,38,94.95
68,39,91.3
69,40,92.46
70,41,92.9
71,42,100.0
72,43,99.19
74,44,99.12
75,45,97.78
76,46,96.09
77,47,95.49
78,48,98.15
80,49,100.0
81,50,98.4
82,51,98.75
83,52,96.59
84,53,99.82
85,54,98.83
86,55,99.6
87,56,94.56
89,57,98.72
90,58,94.34
91,59,96.97
93,60,100.0
94,61,98.05
95,62,99.69
96,63,88.6
97,64,99.03
98,65,95.43
101,66,99.01
102,67,96.11
103,68,100.0
104,69,97.86
105,70,100.0
109,71,96.67
110,72,99.0
111,73,97.62
112,74,100.0
113,75,96.04
114,76,97.93
115,77,96.3
116,78,99.78
119,79,100.0
122,80,94.82
123,81,93.7
124,82,97.35
126,83,98.7
127,84,100.0
128,85,94.88
129,86,99.79
130,87,85.19
131,88,97.81
132,89,97.47
134,90,99.58
135,91,99.82
136,92,96.93
137,93,99.92
139,94,97.86
140,95,100.0
141,96,99.79
142,97,100.0
144,98,92.42
145,99,97.35
146,100,91.03
148,101,100.0
150,102,100.0
151,103,95.0
152,104,95.51
153,105,96.51
154,106,97.74
155,107,100.0
156,108,100.0
157,109,95.5
158,110,96.44
159,111,100.0
160,112,100.0
161,113,100.0
162,114,98.27
163,115,100.0
166,116,95.62
167,117,95.24
168,118,100.0
169,119,96.08
170,120,96.25
171,121,96.1
172,122,93.58
173,123,100.0
174,124,83.68
175,125,91.48
176,126,97.72
177,127,97.65
178,128,95.74
181,129,99.72
183,130,96.56
184,131,95.71
185,132,94.12
186,133,100.0
187,134,96.55
188,135,94.97
189,136,92.97
191,137,98.15
192,138,99.42
193,139,98.23
194,140,99.61
196,141,98.29
197,142,98.41
198,143,94.8
199,144,100.0
200,145,98.43
201,146,100.0
202,147,95.45
203,148,96.76
204,149,99.14
205,150,97.87
206,151,97.06
209,152,96.97
211,153,100.0
212,154,100.0
213,155,100.0
214,156,93.44
215,157,100.0
217,158,96.52
219,159,100.0
220,160,97.14
221,161,97.46
222,162,99.85
223,163,97.73
224,164,97.82
225,165,93.98
226,166,92.53
228,167,97.45
229,168,91.78
231,169,96.41
232,170,99.72
233,171,93.11
235,172,96.72
236,173,99.33
237,174,93.8
238,175,98.03
239,176,97.09
243,177,98.75
244,178,96.44
246,179,93.64
247,180,100.0
248,181,96.94
249,182,97.7
250,183,99.75
251,184,94.97
252,185,99.86
253,186,90.87
254,187,100.0
255,188,99.5
257,189,99.46
258,190,98.99
259,191,92.82
261,192,98.73
263,193,98.18
264,194,97.88
265,195,96.63
268,196,95.43
269,197,96.83
270,198,96.7
271,199,99.17
272,200,100.0
273,201,100.0
274,202,94.88
275,203,100.0
276,204,98.12
277,205,97.8
278,206,100.0
279,207,93.48
280,208,96.04
281,209,91.18
282,210,97.44
283,211,98.53
284,212,98.23
286,213,97.14
287,214,100.0
288,215,95.59
289,216,97.76
290,217,100.0
292,218,93.71
293,219,100.0
296,220,94.12
297,221,99.74
299,222,100.0
300,223,96.77
301,224,93.57
302,225,96.03
303,226,100.0
305,227,100.0
306,228,96.28
307,229,96.67
308,230,95.95
309,231,95.22
310,232,100.0
311,233,100.0
312,234,100.0
313,235,96.55
314,236,99.17
315,237,100.0
316,238,93.02
317,239,97.08
318,240,98.25
319,241,100.0
320,242,98.04
321,243,97.5
322,244,100.0
323,245,95.77
324,246,97.88
326,247,96.3
328,248,95.03
329,249,99.43
330,250,96.88
331,251,100.0
332,252,97.5
334,253,93.11
335,254,95.74
337,255,89.04
338,256,100.0
340,257,92.46
341,258,99.83
342,259,96.0
345,260,98.43
346,261,97.95
348,262,95.82
349,263,96.89
350,264,100.0
351,265,97.04
352,266,95.24
360,267,99.71
361,268,93.11
363,269,100.0
364,270,99.78
365,271,97.52
366,272,100.0
367,273,99.39
369,274,98.62
372,275,94.59
373,276,98.75
374,277,100.0
376,278,97.63
378,279,100.0
379,280,97.2
380,281,96.63
381,282,95.78
382,283,98.75
386,284,99.79
388,285,100.0
390,286,99.73
391,287,96.25
392,288,93.86
393,289,97.66
394,290,100.0
395,291,99.83
396,292,100.0
397,293,96.56
400,294,100.0
401,295,99.7
402,296,100.0
404,297,97.35
405,298,99.29
406,299,96.16
407,300,97.97
408,301,93.75
409,302,94.11
411,303,98.06
412,304,97.17
414,305,96.08
415,306,95.59
417,307,99.38
419,308,97.92
420,309,97.94
421,310,98.28
422,311,97.71
424,312,93.11
425,313,97.76
426,314,100.0
427,315,96.6
428,316,93.94
429,317,97.83
430,318,96.33
432,319,97.61
433,320,97.07
436,321,95.0
437,322,98.82
438,323,93.98
439,324,96.33
440,325,99.71
443,326,95.0
447,327,93.19
448,328,97.25
449,329,79.17
450,330,98.61
451,331,100.0
452,332,95.68
453,333,97.26
454,334,98.23
455,335,96.6
457,336,99.23
458,337,99.84
459,338,96.55
460,339,96.56
461,340,99.85
463,341,97.07
464,342,98.41
465,343,96.94
466,344,91.56
467,345,100.0
468,346,98.22
469,347,94.81
470,348,100.0
472,349,96.94
473,350,95.18
475,351,96.3
476,352,94.15
477,353,100.0
478,354,99.39
479,355,97.03
480,356,99.75
481,357,100.0
482,358,100.0
483,359,98.17
484,360,97.47
485,361,100.0
486,362,94.31
488,363,95.93
490,364,96.16
491,365,100.0
492,366,100.0
493,367,96.41
494,368,99.1
495,369,100.0
496,370,94.0
497,371,97.4
498,372,93.11
499,373,98.75
501,374,96.89
503,375,95.08
