exp_tensile_strain,exp_tensile_stress,cal_tensile_strain,cal_tensile_stress,val_tensile_strain,val_tensile_stress
0.0,0.0,0.0,0.0,,
0.00068284,94.787,0.0007692307692307692,162.2987938739406,,
0.00091767,120.81,0.0015384615384615385,297.71700995426585,,
0.00105,149.65,0.0023076923076923075,343.76583344234854,,
0.00112,179.33,0.003076923076923077,354.49019257213257,,
0.00122,208.07,0.0038461538461538464,357.84062482657134,,
0.00144,234.48,0.004615384615384616,359.83624141245474,,
0.00175,249.32,0.005384615384615385,361.58818854558183,,
0.00223,270.51,0.006153846153846155,363.2960059324229,,
0.00285,287.68,0.006923076923076923,364.99535098415964,,
0.00344,305.03,0.007692307692307693,366.6925902282814,,
0.00416,319.7,0.008461538461538461,368.3888604139438,,
0.00527,323.81,0.00923076923076923,370.0843647061241,,
0.0058,338.54,0.009999999999999998,371.77913961805325,,
0.00678,345.93,0.010769230769230767,373.47319191445945,,
0.00782,352.02,0.011538461538461536,375.16652304967835,,
0.0089,357.55,0.012307692307692304,376.8591335300071,,
0.01004,354.03,0.013076923076923073,378.55102369241445,,
0.01083,366.69,0.013846153846153841,380.2421938435446,,
0.012,370.59,0.01461538461538461,381.93264428453006,,
0.01317,374.51,0.015384615384615379,383.62237531542127,,
0.01431,378.61,0.016153846153846147,385.31138723597724,,
0.01515,381.91,0.016923076923076916,386.9996803458084,,
0.01625,385.29,0.017692307692307684,388.6872549443988,,
0.01742,388.22,0.018461538461538453,390.37411133111243,,
0.01857,391.75,0.01923076923076922,392.06024980519396,,
0.0197,394.8,0.01999999999999999,393.74567066576924,,
0.02077,398.1,0.02076923076923076,395.43037421184334,,
0.02169,401.85,0.021538461538461527,397.114360742305,,
0.02282,404.03,0.022307692307692296,398.7976305559209,,
0.02391,406.53,0.023076923076923064,400.4801839513403,,
0.02498,409.36,0.023846153846153833,402.1620212270927,,
0.02612,412.14,0.0246153846153846,403.84314268158965,,
0.02695,416.53,0.02538461538461537,405.5235486131227,,
0.02817,417.9,0.02615384615384614,407.2032393198644,,
0.02935,420.35,0.026923076923076907,408.8822150998687,,
0.03053,422.61,0.027692307692307676,410.56047625107186,,
0.03171,425.02,0.028461538461538444,412.2380230712899,,
0.03284,427.64,0.029230769230769213,413.91485585822073,,
0.03398,430.38,0.02999999999999998,415.590974909443,,
0.03508,433.01,0.03076923076923075,417.2663805224175,,
0.03597,437.38,0.031538461538461515,418.9410729944858,,
0.03719,438.38,0.03230769230769228,420.6150526228712,,
0.03833,440.57,0.033076923076923045,422.2883197046788,,
0.03953,442.98,0.03384615384615381,423.96087453689586,,
0.04069,445.56,0.034615384615384576,425.6327174163879,,
0.0419,447.72,0.03538461538461534,427.3038486399062,,
0.04304,449.87,0.036153846153846106,428.9742685040803,,
0.04416,452.73,0.03692307692307687,430.6439773054251,,
0.04472,464.9,0.037692307692307636,432.3129753403334,,
0.04592,465.93,0.0384615384615384,433.9812629050821,,
0.04708,467.67,0.039230769230769166,435.64884029583015,,
0.04822,469.55,0.03999999999999993,437.31570780861614,,
0.04935,472.12,0.0407692307692307,438.9818657393622,,
0.05049,474.06,0.04153846153846146,440.6473143838725,,
0.0516,476.18,0.04230769230769223,442.31205403783343,,
0.05237,473.84,0.04307692307692299,443.976084996812,,
0.05305,482.34,0.04384615384615376,445.6394075562586,,
0.05425,483.23,0.04461538461538452,447.30202201150615,,
0.05541,484.39,0.04538461538461529,448.96392865776727,,
0.0566,486.6,0.04615384615384605,450.6251277901389,,
0.05779,488.62,0.04692307692307682,452.2856197036005,,
0.05902,490.57,0.04769230769230758,453.9454046930126,,
0.0602,492.78,0.04846153846153835,455.60448305311814,,
0.0611,498.16,0.04923076923076911,457.26285507854254,,
0.0623,498.76,0.04999999999999988,458.920521063795,,
