ebsd_id,mesh_id,confidence
7,1,100.0
10,2,100.0
14,3,65.22
16,4,82.35
19,5,56.52
21,6,60.61
22,7,66.67
25,8,51.43
26,9,100.0
27,10,82.69
29,11,66.67
31,12,51.85
35,13,46.88
37,14,73.08
38,15,63.21
41,16,100.0
49,17,75.0
56,18,65.38
58,19,63.83
59,20,85.0
61,21,70.83
63,22,70.37
64,23,71.67
66,24,77.19
67,25,100.0
70,26,86.96
74,27,52.63
77,28,83.33
78,29,85.71
82,30,89.33
83,31,78.95
85,32,52.63
88,33,70.83
89,34,80.0
99,35,68.18
101,36,78.57
103,37,88.33
104,38,72.0
105,39,78.57
109,40,100.0
110,41,89.58
112,42,69.62
114,43,85.71
116,44,80.0
119,45,73.02
120,46,86.67
121,47,100.0
123,48,48.0
125,49,100.0
126,50,71.43
128,51,60.0
129,52,58.46
132,53,50.0
138,54,51.02
141,55,100.0
142,56,55.17
146,57,59.62
148,58,72.73
152,59,70.0
155,60,65.79
156,61,100.0
158,62,100.0
161,63,70.0
164,64,68.75
166,65,57.41
167,66,75.0
169,67,86.36
173,68,67.37
176,69,70.18
178,70,79.17
180,71,65.62
181,72,100.0
183,73,71.43
185,74,86.96
186,75,83.33
188,76,75.0
190,77,90.32
192,78,56.1
195,79,73.08
198,80,65.62
202,81,76.67
203,82,100.0
207,83,86.67
208,84,79.31
210,85,81.25
211,86,87.32
212,87,100.0
213,88,82.14
216,89,85.14
217,90,56.41
219,91,91.89
222,92,65.52
223,93,91.3
227,94,52.63
230,95,76.09
233,96,70.37
234,97,56.67
239,98,84.0
240,99,72.0
242,100,87.8
243,101,73.68
246,102,83.67
247,103,65.52
249,104,85.92
250,105,84.62
251,106,44.83
253,107,100.0
254,108,56.67
255,109,62.96
259,110,75.76
262,111,71.43
264,112,93.75
265,113,56.92
269,114,79.17
270,115,100.0
271,116,80.65
274,117,77.14
276,118,56.76
278,119,91.43
281,120,82.61
284,121,66.67
286,122,89.29
287,123,70.0
288,124,56.67
293,125,67.57
294,126,77.36
299,127,100.0
302,128,100.0
303,129,63.64
312,130,76.0
100001,131,89.28
100002,132,87.47
