block_id,cauchy_stress_xx,elastic_strain_xx,id,mechanical_strain_xx,orientation_q1,orientation_q2,orientation_q3,orientation_q4,strain_xx,volume
1.0,894.99,0.0043601,0.0,0.010818,0.43305,-0.13517,0.8702,0.19221,0.010818,5489.8
1.0,872.53,0.0042857,1.0,0.010344,0.43346,-0.13513,0.87004,0.19206,0.010344,7537.7
1.0,876.71,0.004428,2.0,0.011166,0.43354,-0.1357,0.86976,0.19273,0.011166,4186.4
1.0,844.55,0.0043407,3.0,0.010696,0.43373,-0.1353,0.86976,0.1926,0.010696,6697.4
1.0,908.41,0.0045375,4.0,0.011499,0.43339,-0.13567,0.86984,0.19275,0.011499,3758.5
1.0,878.54,0.0044644,5.0,0.011069,0.43368,-0.13537,0.86977,0.19263,0.011069,6598.5
1.0,894.85,0.0045403,6.0,0.011489,0.43345,-0.13575,0.86979,0.19277,0.011489,4256.3
1.0,857.42,0.0044326,7.0,0.010925,0.43377,-0.13536,0.86973,0.19259,0.010925,6798.6
1.0,853.16,0.0042322,8.0,0.0098201,0.43396,-0.13501,0.86957,0.19315,0.0098201,5571.2
1.0,842.81,0.0041908,9.0,0.0096382,0.43395,-0.13479,0.8696,0.19319,0.0096382,7546.2
1.0,847.83,0.0041697,10.0,0.0095078,0.43412,-0.13456,0.86957,0.19308,0.0095078,5326.2
1.0,859.47,0.0043977,11.0,0.010613,0.4343,-0.13495,0.86959,0.19231,0.010613,4190.7
1.0,871.33,0.0044089,12.0,0.010716,0.43418,-0.13503,0.86962,0.1924,0.010716,3763.3
1.0,847.14,0.0043128,13.0,0.010383,0.43412,-0.13486,0.86968,0.19238,0.010383,4180.6
1.0,861.38,0.0042306,14.0,0.0099624,0.43402,-0.13507,0.8698,0.19193,0.0099624,5369.7
1.0,875.58,0.0043898,15.0,0.012107,0.43242,-0.13517,0.87042,0.19264,0.012107,9563.5
1.0,879.61,0.0044543,16.0,0.011808,0.43307,-0.13572,0.86993,0.193,0.011808,8002.2
1.0,894.86,0.0044451,17.0,0.011415,0.43295,-0.13485,0.87032,0.19213,0.011415,7681.7
1.0,857.54,0.0044562,18.0,0.011472,0.43338,-0.13529,0.86989,0.19279,0.011472,4438.7
1.0,893.5,0.0043994,19.0,0.010719,0.43332,-0.13504,0.87012,0.19208,0.010719,9951.6
1.0,888.81,0.0044991,20.0,0.010888,0.43343,-0.13495,0.86994,0.19271,0.010888,7128.7
1.0,846.05,0.004287,21.0,0.010312,0.43374,-0.13529,0.86986,0.19214,0.010312,7694.3
1.0,818.48,0.004306,22.0,0.0098921,0.43354,-0.13445,0.87001,0.19251,0.0098921,4637.5
1.0,803.18,0.0042299,23.0,0.010107,0.43439,-0.135,0.86963,0.19192,0.010107,8538.3
1.0,800.59,0.0042469,24.0,0.0096461,0.43406,-0.13393,0.86992,0.19206,0.0096461,7107.0
1.0,805.51,0.0042745,25.0,0.0097803,0.43429,-0.13417,0.86977,0.19204,0.0097803,7297.8
1.0,807.18,0.0043056,26.0,0.0098734,0.43454,-0.13408,0.8697,0.19189,0.0098734,7217.6
1.0,866.86,0.0044351,27.0,0.0102,0.43362,-0.1346,0.86994,0.19252,0.0102,4144.2
1.0,935.83,0.0046274,28.0,0.011186,0.4334,-0.13505,0.86993,0.19274,0.011186,6961.9
1.0,819.53,0.0043564,29.0,0.010011,0.43379,-0.1346,0.86987,0.19247,0.010011,4302.1
1.0,890.42,0.0045533,30.0,0.01101,0.43347,-0.13504,0.8699,0.19274,0.01101,7048.1
1.0,866.42,0.0044108,31.0,0.010139,0.4335,-0.13472,0.86973,0.19366,0.010139,7498.9
1.0,896.41,0.004485,32.0,0.01036,0.43367,-0.13456,0.86968,0.19358,0.01036,10012.0
1.0,820.33,0.004323,33.0,0.010065,0.43373,-0.13436,0.86981,0.19302,0.010065,8671.6
1.0,880.87,0.0045298,34.0,0.011023,0.43386,-0.13456,0.86964,0.19336,0.011023,7814.4
1.0,842.93,0.0044226,35.0,0.011378,0.43358,-0.13522,0.86966,0.19343,0.011378,9446.5
1.0,856.99,0.0045089,36.0,0.011606,0.43312,-0.13527,0.87,0.19292,0.011606,4528.7
1.0,896.41,0.0045324,37.0,0.012134,0.43259,-0.13561,0.87015,0.19317,0.012134,7928.7
1.0,909.52,0.0045763,38.0,0.011608,0.43319,-0.13528,0.86997,0.19285,0.011608,4220.2
1.0,888.05,0.0044692,39.0,0.01172,0.43286,-0.13558,0.87006,0.193,0.01172,8094.8
2.0,766.64,0.0034629,40.0,0.014564,0.054918,-0.0091094,0.96564,-0.25386,0.014564,16643.0
2.0,764.47,0.0035285,41.0,0.015739,0.053996,-0.0084205,0.96567,-0.25394,0.015739,16725.0
