block_id,cauchy_stress_xx,elastic_strain_xx,id,mechanical_strain_xx,orientation_q1,orientation_q2,orientation_q3,orientation_q4,strain_xx,volume
1.0,990.51,0.0048291,0.0,0.021063,0.43207,-0.13811,0.87025,0.19209,0.021063,5489.8
1.0,955.14,0.004729,1.0,0.019991,0.43322,-0.13822,0.86972,0.19183,0.019991,7537.7
1.0,946.74,0.0048827,2.0,0.021643,0.43336,-0.13939,0.86912,0.19339,0.021643,4186.4
1.0,901.07,0.0047734,3.0,0.020711,0.43386,-0.13851,0.86907,0.19312,0.020711,6697.4
1.0,995.28,0.0050659,4.0,0.022595,0.43297,-0.13926,0.86929,0.19358,0.022595,3758.5
1.0,958.08,0.004978,5.0,0.021731,0.4337,-0.13854,0.86911,0.19328,0.021731,6598.5
1.0,973.34,0.005034,6.0,0.022438,0.43316,-0.13941,0.86917,0.19361,0.022438,4256.3
1.0,922.31,0.0048905,7.0,0.021223,0.43388,-0.13855,0.86904,0.19317,0.021223,6798.6
1.0,937.21,0.0046829,8.0,0.018793,0.43428,-0.13782,0.86866,0.1945,0.018793,5571.2
1.0,919.37,0.0046228,9.0,0.018398,0.43409,-0.13728,0.86882,0.19461,0.018398,7546.2
1.0,928.79,0.0046003,10.0,0.018142,0.4343,-0.1367,0.86885,0.19443,0.018142,5326.2
1.0,929.92,0.0048566,11.0,0.020551,0.43502,-0.13762,0.86877,0.1925,0.020551,4190.7
1.0,952.21,0.0049169,12.0,0.020999,0.43483,-0.13781,0.86879,0.19273,0.020999,3763.3
1.0,910.27,0.0047574,13.0,0.020125,0.43474,-0.13753,0.86889,0.19266,0.020125,4180.6
1.0,937.43,0.0046646,14.0,0.019127,0.43462,-0.13821,0.86907,0.19161,0.019127,5369.7
1.0,976.42,0.0049022,15.0,0.024068,0.43047,-0.13776,0.87093,0.19287,0.024068,9563.5
1.0,964.11,0.0049527,16.0,0.023184,0.43205,-0.13924,0.86968,0.19393,0.023184,8002.2
1.0,1004.4,0.0049983,17.0,0.022537,0.43166,-0.13743,0.87056,0.19212,0.022537,7681.7
1.0,933.6,0.0049681,18.0,0.022592,0.43259,-0.13844,0.86958,0.19373,0.022592,4438.7
1.0,992.56,0.0049085,19.0,0.02078,0.43284,-0.13787,0.86994,0.19196,0.02078,9951.6
1.0,975.5,0.0050051,20.0,0.021037,0.43296,-0.13757,0.8696,0.19343,0.021037,7128.7
1.0,921.97,0.004733,21.0,0.019803,0.43397,-0.13839,0.86927,0.19207,0.019803,7694.3
1.0,875.07,0.0047405,22.0,0.018971,0.43319,-0.13633,0.86978,0.19297,0.018971,4637.5
1.0,864.38,0.0046624,23.0,0.019675,0.43581,-0.13788,0.86858,0.19138,0.019675,8538.3
1.0,858.1,0.0046934,24.0,0.018725,0.43466,-0.13532,0.86946,0.19182,0.018725,7107.0
1.0,877.81,0.0047675,25.0,0.019187,0.43522,-0.13587,0.86911,0.19173,0.019187,7297.8
1.0,868.1,0.0047545,26.0,0.019113,0.43573,-0.1356,0.86898,0.19138,0.019113,7217.6
1.0,957.94,0.0049614,27.0,0.019843,0.43335,-0.13666,0.86964,0.19302,0.019843,4144.2
1.0,1044.5,0.0052045,28.0,0.021846,0.43286,-0.13774,0.86959,0.19358,0.021846,6961.9
1.0,878.01,0.0047892,29.0,0.019161,0.4337,-0.13662,0.8695,0.1929,0.019161,4302.1
1.0,977.12,0.0050585,30.0,0.021277,0.43307,-0.13775,0.86949,0.19355,0.021277,7048.1
1.0,956.95,0.0048949,31.0,0.019336,0.43259,-0.13686,0.86937,0.19576,0.019336,7498.9
1.0,999.35,0.0050073,32.0,0.019879,0.43329,-0.13675,0.86908,0.1956,0.019879,10012.0
1.0,897.97,0.0048007,33.0,0.019582,0.43316,-0.13609,0.86956,0.1942,0.019582,8671.6
1.0,973.77,0.0050696,34.0,0.021596,0.43384,-0.13694,0.86888,0.19513,0.021596,7814.4
1.0,925.65,0.0049471,35.0,0.022459,0.43351,-0.13828,0.86884,0.19508,0.022459,9446.5
1.0,931.32,0.0050267,36.0,0.022916,0.43202,-0.13836,0.86978,0.19416,0.022916,4528.7
1.0,987.35,0.005071,37.0,0.023957,0.43099,-0.13897,0.87011,0.19454,0.023957,7928.7
1.0,1020.5,0.0051804,38.0,0.022996,0.4321,-0.13831,0.86978,0.194,0.022996,4220.2
1.0,980.04,0.0050192,39.0,0.023221,0.43156,-0.13903,0.8699,0.19415,0.023221,8094.8
2.0,832.14,0.0037697,40.0,0.028689,0.054767,-0.0072254,0.96557,-0.2542,0.028689,16643.0
2.0,828.0,0.0038324,41.0,0.030886,0.053048,-0.0056508,0.96563,-0.25439,0.030886,16725.0
2.0,913.48,0.0040357,42.0,0.032795,0.05364,-0.0037908,0.96554,-0.25464,0.032795,13286.0
2.0,869.59,0.0038262,43.0,0.028251,0.053475,-0.0086091,0.96574,-0.25379,0.028251,16409.0
2.0,877.78,0.0039251,44.0,0.031235,0.052673,-0.006442,0.96581,-0.25377,0.031235,19184.0
2.0,935.46,0.0040258,45.0,0.031392,0.052353,-0.0043438,0.96566,-0.25444,0.031392,13141.0
2.0,837.34,0.0037421,46.0,0.027644,0.053468,-0.0086831,0.96575,-0.25375,0.027644,16364.0
2.0,848.46,0.0038361,47.0,0.030423,0.052483,-0.0064803,0.96583,-0.25372,0.030423,20240.0
2.0,886.28,0.0038957,48.0,0.030176,0.052502,-0.0043215,0.96569,-0.2543,0.030176,13080.0
2.0,883.23,0.0038788,49.0,0.028982,0.053017,-0.0087268,0.96587,-0.25338,0.028982,16409.0
2.0,883.78,0.0039554,50.0,0.031735,0.052062,-0.0066071,0.96597,-0.25327,0.031735,19173.0
2.0,936.79,0.004036,51.0,0.031631,0.052165,-0.0043217,0.96577,-0.25404,0.031631,13141.0
2.0,827.39,0.0037886,52.0,0.029105,0.051207,-0.0074,0.96616,-0.25269,0.029105,16643.0
2.0,832.85,0.0038589,53.0,0.031386,0.051422,-0.0054658,0.96633,-0.25204,0.031386,16745.0
2.0,913.72,0.0040592,54.0,0.033344,0.050647,-0.0038065,0.96595,-0.2537,0.033344,13286.0
2.0,904.54,0.0040661,55.0,0.034497,0.051561,-0.0037342,0.96597,-0.25344,0.034497,14896.0
2.0,934.42,0.0040901,56.0,0.033615,0.052182,-0.0051206,0.96573,-0.25419,0.033615,15449.0
2.0,881.41,0.0039348,57.0,0.031881,0.05271,-0.0048966,0.96563,-0.25446,0.031881,15689.0
2.0,934.11,0.0040768,58.0,0.033328,0.052818,-0.004758,0.96559,-0.25461,0.033328,15466.0
2.0,904.94,0.0040721,59.0,0.03449,0.052702,-0.0039764,0.96547,-0.25508,0.03449,14885.0
2.0,864.01,0.0039676,60.0,0.033594,0.051603,-0.0054163,0.96652,-0.25129,0.033594,15953.0
2.0,881.37,0.0040324,61.0,0.034792,0.053629,-0.010908,0.96644,-0.251,0.034792,11525.0
2.0,886.4,0.0040056,62.0,0.033781,0.051638,-0.0062988,0.96603,-0.25314,0.033781,17904.0
2.0,896.71,0.004057,63.0,0.035063,0.053211,-0.010368,0.9659,-0.25319,0.035063,13217.0
2.0,879.04,0.0039603,64.0,0.033174,0.051866,-0.0061319,0.96589,-0.25363,0.033174,18799.0
2.0,905.13,0.0040617,65.0,0.035009,0.053075,-0.010089,0.96578,-0.25368,0.035009,13632.0
2.0,893.34,0.0040218,66.0,0.033974,0.051907,-0.0061543,0.96585,-0.25378,0.033974,17914.0
2.0,906.8,0.0040839,67.0,0.035438,0.052679,-0.010455,0.96576,-0.25383,0.035438,13225.0
2.0,851.08,0.0039304,68.0,0.033039,0.051604,-0.0058064,0.96564,-0.25463,0.033039,15931.0
2.0,862.45,0.0039823,69.0,0.034245,0.052159,-0.011845,0.96557,-0.2546,0.034245,11527.0
2.0,844.73,0.0038889,70.0,0.031803,0.052241,-0.014817,0.96564,-0.25416,0.031803,15578.0
2.0,856.86,0.0038248,71.0,0.028756,0.051436,-0.012442,0.96575,-0.25402,0.028756,15862.0
2.0,864.64,0.0038874,72.0,0.031046,0.053397,-0.013272,0.96574,-0.25361,0.031046,16962.0
2.0,856.79,0.0037753,73.0,0.027254,0.052985,-0.011191,0.96578,-0.25363,0.027254,17739.0
2.0,855.88,0.0038612,74.0,0.030845,0.053909,-0.012822,0.96572,-0.25361,0.030845,17518.0
2.0,842.92,0.0037407,75.0,0.027151,0.052985,-0.010474,0.96575,-0.25378,0.027151,18218.0
2.0,871.85,0.0039139,76.0,0.031381,0.054397,-0.01318,0.96578,-0.25325,0.031381,16886.0
2.0,876.62,0.0038266,77.0,0.027819,0.053818,-0.011057,0.96577,-0.2535,0.027819,17655.0
2.0,838.39,0.0038624,78.0,0.031481,0.055242,-0.01473,0.96615,-0.25155,0.031481,15591.0
2.0,830.25,0.0037535,79.0,0.028064,0.055282,-0.012593,0.96594,-0.25249,0.028064,15841.0
2.0,927.06,0.0040452,80.0,0.032216,0.055615,-0.014139,0.96567,-0.25333,0.032216,11891.0
2.0,931.34,0.0039842,81.0,0.030584,0.054876,-0.013341,0.96557,-0.25395,0.030584,12820.0
2.0,882.82,0.003875,82.0,0.029674,0.054337,-0.013536,0.96555,-0.2541,0.029674,13073.0
2.0,924.28,0.0039746,83.0,0.03039,0.053908,-0.013503,0.96555,-0.25421,0.03039,12849.0
2.0,907.4,0.0039516,84.0,0.030914,0.053482,-0.013847,0.96542,-0.25478,0.030914,11901.0
2.0,844.4,0.003552,85.0,0.022477,0.057013,-0.010769,0.96551,-0.25379,0.022477,15824.0
2.0,918.76,0.0038689,86.0,0.027713,0.05442,-0.0026197,0.96557,-0.25437,0.027713,12827.0
2.0,844.37,0.0035794,87.0,0.022359,0.054382,-0.012299,0.9657,-0.2536,0.022359,15264.0
2.0,901.22,0.003836,88.0,0.026946,0.051841,-0.0032526,0.96575,-0.25421,0.026946,12708.0
