4.5334,2.0485,3.1607,7
4.385,2.2697,3.9473,7
5.4275,2.981,4.1356,5
5.2538,1.5745,4.2609,10
5.8587,2.2023,3.5382,6
4.5266,2.1335,3.3743,8
5.6095,2.5776,3.5507,7
5.599,2.582,3.5409,10
4.5291,1.6688,2.8773,10
4.5289,2.0439,3.1448,9
4.5283,1.6643,2.8693,10
5.1003,1.6825,3.5295,16
4.2189,2.5847,3.1565,8
5.6536,1.7381,4.2223,14
5.5169,2.209,4.3487,28
5.611,2.5778,3.5496,11
5.5972,2.1321,4.7469,8
5.5367,2.1417,3.5886,9
4.4616,2.6,3.6917,32
5.9843,2.0115,4.4618,8
5.2238,1.3651,4.0344,11
5.1294,1.332,4.398,13
5.5712,2.3009,4.53,18
5.3549,1.4904,3.7968,31
4.8385,1.9489,3.9141,7
5.2615,2.1628,3.7809,9
4.5303,1.6597,2.867,8
4.2979,1.7905,2.9946,8
5.0422,1.3092,3.8114,10
4.9858,1.9105,4.1164,20
4.3404,2.2412,4.1146,14
5.602,1.6663,4.6542,17
4.4088,2.2935,4.107,8
5.4484,1.6975,4.4086,11
5.8384,2.2726,4.5721,8
4.994,1.6539,3.4743,13
5.5375,2.2156,4.1422,10
4.7228,2.234,3.1701,14
5.2497,1.6713,3.701,16
5.9513,2.0865,4.5727,9
5.3684,2.5085,4.4008,7
5.3353,2.2344,4.6379,14
5.5618,1.9571,3.6845,10
5.0465,1.4364,3.9142,10
5.3849,2.4997,4.4189,29
4.4951,1.5816,4.2563,27
5.6288,2.6277,3.8675,24
5.6931,2.1674,4.2038,18
5.2569,1.7316,4.2595,15
4.4065,1.6844,3.4979,9
4.8803,1.839,3.8615,19
5.1394,1.4737,3.3106,103
5.348,2.0044,3.9709,16
4.2122,2.393,2.9245,8
4.1189,3.0439,3.1468,8
5.1548,2.0775,3.392,6
4.5809,2.0377,4.0776,6
5.062,1.5435,4.2643,16
4.3268,2.4724,3.8309,9
4.319,1.7663,3.7382,13
4.2184,2.3849,2.9277,6
0.0,0.0,0.0,260
0.0,0.0,0.0,260
