ebsd_id,mesh_id,confidence
5,1,96.11
6,2,94.74
8,3,97.22
9,4,98.83
10,5,100.0
11,6,98.59
12,7,96.85
13,8,94.31
14,9,99.82
15,10,100.0
16,11,100.0
17,12,96.76
18,13,99.07
19,14,99.83
20,15,100.0
22,16,100.0
23,17,95.4
24,18,100.0
25,19,91.35
26,20,95.45
27,21,92.75
28,22,96.25
29,23,100.0
30,24,99.29
31,25,92.25
32,26,92.03
33,27,96.42
34,28,98.26
35,29,96.22
36,30,96.21
37,31,96.78
38,32,91.86
39,33,100.0
40,34,97.73
41,35,97.3
42,36,99.59
43,37,97.66
44,38,98.21
45,39,99.4
46,40,97.37
47,41,97.68
48,42,94.84
49,43,99.83
50,44,100.0
51,45,99.68
52,46,98.63
53,47,95.46
54,48,94.58
55,49,99.41
57,50,94.06
58,51,100.0
59,52,99.41
60,53,98.41
61,54,99.53
62,55,98.44
63,56,95.62
64,57,100.0
65,58,97.92
66,59,100.0
67,60,100.0
68,61,97.94
69,62,94.29
71,63,98.7
72,64,99.64
73,65,96.92
74,66,96.38
75,67,92.73
76,68,97.33
77,69,97.68
78,70,92.72
79,71,94.29
80,72,99.77
81,73,96.11
82,74,100.0
83,75,93.19
84,76,94.78
85,77,97.52
86,78,98.57
87,79,94.86
88,80,99.13
89,81,98.4
90,82,91.23
91,83,96.64
92,84,99.41
93,85,96.8
94,86,98.85
95,87,93.43
96,88,96.27
97,89,95.71
98,90,100.0
99,91,95.92
100,92,98.38
101,93,97.67
102,94,96.28
103,95,100.0
104,96,97.62
105,97,100.0
106,98,98.75
107,99,97.2
108,100,99.53
109,101,97.17
110,102,98.44
111,103,100.0
112,104,87.56
113,105,100.0
114,106,95.96
115,107,97.89
116,108,94.53
117,109,94.22
118,110,100.0
119,111,96.3
120,112,97.37
121,113,97.07
122,114,94.24
123,115,99.13
124,116,100.0
125,117,99.6
126,118,94.56
127,119,93.83
128,120,100.0
129,121,98.0
130,122,99.7
131,123,97.87
132,124,96.25
133,125,100.0
134,126,100.0
135,127,96.83
137,128,99.8
138,129,97.67
139,130,100.0
140,131,95.5
141,132,95.86
142,133,96.79
143,134,100.0
144,135,96.28
145,136,100.0
146,137,96.57
147,138,99.49
148,139,97.67
149,140,97.92
150,141,95.0
151,142,100.0
152,143,97.56
153,144,95.92
154,145,94.12
155,146,95.14
156,147,99.02
157,148,98.31
158,149,92.32
159,150,96.77
160,151,94.89
161,152,98.53
162,153,99.52
163,154,98.4
164,155,95.94
165,156,96.78
166,157,98.75
167,158,95.9
168,159,96.67
169,160,100.0
170,161,94.63
171,162,100.0
172,163,96.99
173,164,98.04
174,165,98.32
175,166,96.53
176,167,96.53
177,168,95.44
178,169,92.66
179,170,97.92
180,171,100.0
181,172,100.0
182,173,96.53
183,174,97.17
184,175,98.34
185,176,99.63
186,177,100.0
187,178,96.71
188,179,93.46
189,180,100.0
190,181,95.44
191,182,97.4
192,183,94.36
194,184,98.91
195,185,98.14
196,186,99.42
197,187,97.83
198,188,98.7
199,189,98.01
200,190,100.0
201,191,94.59
202,192,96.64
203,193,98.62
204,194,100.0
205,195,97.23
206,196,96.0
207,197,100.0
208,198,96.63
209,199,100.0
210,200,93.97
211,201,98.0
212,202,99.5
213,203,99.18
214,204,100.0
215,205,100.0
216,206,97.68
217,207,97.84
218,208,98.79
219,209,97.3
220,210,97.19
221,211,95.62
222,212,99.51
223,213,100.0
224,214,100.0
225,215,91.63
226,216,100.0
227,217,98.18
228,218,98.91
229,219,99.9
230,220,95.05
231,221,98.08
232,222,95.42
233,223,94.81
234,224,100.0
235,225,94.74
236,226,92.21
237,227,93.47
238,228,99.31
239,229,100.0
240,230,100.0
241,231,97.34
242,232,98.8
243,233,96.76
244,234,100.0
245,235,95.06
246,236,93.45
247,237,98.54
248,238,95.65
249,239,99.71
250,240,100.0
251,241,96.69
252,242,97.6
253,243,100.0
254,244,99.45
255,245,99.69
256,246,96.51
257,247,95.12
258,248,95.51
259,249,95.12
260,250,96.07
261,251,99.17
262,252,98.72
263,253,93.86
264,254,96.4
265,255,100.0
267,256,97.23
268,257,98.81
269,258,94.69
270,259,97.45
271,260,100.0
272,261,93.29
273,262,99.44
274,263,99.03
275,264,93.5
276,265,98.01
277,266,99.04
278,267,96.43
279,268,98.48
280,269,96.36
281,270,91.3
282,271,94.29
283,272,95.66
284,273,98.45
285,274,97.77
286,275,98.37
287,276,97.5
288,277,99.57
289,278,100.0
290,279,99.81
291,280,97.56
293,281,100.0
294,282,96.26
295,283,96.54
296,284,98.99
297,285,100.0
298,286,93.14
299,287,97.56
300,288,100.0
301,289,98.72
302,290,98.07
303,291,99.37
304,292,98.83
305,293,96.7
306,294,100.0
307,295,97.79
308,296,98.97
309,297,100.0
310,298,97.59
311,299,100.0
312,300,98.87
313,301,96.76
314,302,97.53
315,303,96.94
316,304,95.24
317,305,99.6
318,306,96.97
319,307,94.2
320,308,96.55
321,309,97.78
322,310,100.0
323,311,98.91
324,312,97.3
325,313,98.21
326,314,97.62
327,315,85.14
328,316,93.57
329,317,100.0
330,318,95.39
331,319,99.84
332,320,97.14
333,321,100.0
334,322,96.54
335,323,96.55
336,324,96.18
337,325,97.88
338,326,98.03
339,327,93.87
340,328,100.0
341,329,95.38
342,330,97.89
343,331,96.22
344,332,94.59
345,333,99.76
346,334,95.77
347,335,100.0
348,336,98.79
349,337,99.18
350,338,98.4
351,339,97.87
352,340,95.34
353,341,94.31
354,342,99.22
355,343,96.56
356,344,91.67
357,345,100.0
358,346,95.59
359,347,96.55
360,348,99.14
361,349,99.55
362,350,95.35
363,351,100.0
364,352,98.28
365,353,97.7
366,354,99.29
367,355,100.0
368,356,92.41
369,357,98.72
370,358,99.59
371,359,100.0
372,360,94.06
373,361,98.43
374,362,94.87
375,363,99.26
376,364,96.31
377,365,100.0
378,366,95.0
380,367,95.04
381,368,98.94
382,369,99.88
383,370,99.52
385,371,98.57
386,372,98.01
